Order_ID,Order_Date,Product,Category,Region,Sales,Quantity,Discount,Profit,Customer_Segment,Payment_Mode
ORD10210,2025-01-01,Keyboard,Accessories,West,5976.0,4,0.17,698.76,Corporate,Cash
ORD10173,2025-01-01,Headphones,Accessories,East,9625.0,5,0.23,1111.88,Consumer,Debit Card
ORD10030,2025-01-01,Monitor,Electronics,East,24080.0,2,0.14,4275.6,Consumer,Debit Card
ORD10077,2025-01-03,Monitor,Electronics,South,12880.0,1,0.08,2301.6,Corporate,Credit Card
ORD10130,2025-01-04,Monitor,Electronics,East,11900.0,1,0.15,2110.5,Corporate,UPI
ORD10150,2025-01-04,Smartwatch,Wearables,East,17640.0,3,0.16,3477.6,Home Office,Credit Card
ORD10024,2025-01-05,Smartwatch,Wearables,North,29750.0,5,0.15,5871.25,Home Office,Cash
ORD10226,2025-01-05,Smartphone,Electronics,East,58800.0,2,0.16,10416.0,Corporate,Credit Card
ORD10116,2025-01-06,Monitor,Electronics,South,41160.0,3,0.02,7396.2,Corporate,Cash
ORD10146,2025-01-06,Tablet,Electronics,North,95700.0,5,0.13,17011.5,Home Office,UPI
ORD10076,2025-01-07,Smartphone,Electronics,West,68600.0,2,0.02,12327.0,Consumer,Cash
ORD10057,2025-01-08,Smartwatch,Wearables,East,21000.0,4,0.25,4095.0,Consumer,Cash
ORD10010,2025-01-08,Smartphone,Electronics,East,93450.0,3,0.11,16647.75,Home Office,Debit Card
ORD10185,2025-01-10,Laptop,Electronics,West,195000.0,4,0.25,34125.0,Corporate,UPI
ORD10033,2025-01-12,Monitor,Electronics,South,10640.0,1,0.24,1864.8,Home Office,Credit Card
ORD10189,2025-01-13,Tablet,Electronics,East,66880.0,4,0.24,11721.6,Consumer,Credit Card
ORD10098,2025-01-13,Monitor,Electronics,West,45360.0,4,0.19,8005.2,Consumer,Debit Card
ORD10067,2025-01-14,Monitor,Electronics,West,13580.0,1,0.03,2438.1,Consumer,UPI
ORD10239,2025-01-14,Headphones,Accessories,North,2250.0,1,0.1,266.25,Home Office,UPI
ORD10073,2025-01-14,Laptop,Electronics,East,117000.0,2,0.1,20865.0,Consumer,Cash
ORD10085,2025-01-15,Tablet,Electronics,West,91300.0,5,0.17,16153.5,Corporate,Debit Card
ORD10169,2025-01-20,Tablet,Electronics,East,20240.0,1,0.08,3616.8,Consumer,Debit Card
ORD10028,2025-01-22,Smartphone,Electronics,North,29400.0,1,0.16,5208.0,Consumer,Credit Card
ORD10244,2025-01-23,Laptop,Electronics,East,200200.0,4,0.23,35139.0,Home Office,Debit Card
ORD10096,2025-01-25,Mouse,Accessories,East,873.0,1,0.03,104.35,Corporate,UPI
ORD10100,2025-01-25,Keyboard,Accessories,West,1746.0,1,0.03,208.71,Consumer,Credit Card
ORD10159,2025-01-26,Laptop,Electronics,South,60450.0,1,0.07,10812.75,Home Office,UPI
ORD10054,2025-01-26,Monitor,Electronics,West,53760.0,4,0.04,9643.2,Home Office,UPI
ORD10088,2025-01-28,Laptop,Electronics,West,52000.0,1,0.2,9165.0,Corporate,UPI
ORD10068,2025-01-28,Laptop,Electronics,South,150150.0,3,0.23,26354.25,Corporate,Credit Card
